cusip,htsymbol
65171850,NR
31677310,FITB
67034610,NUE
67459910,OXY
31758210,FISI
69149730,OXM
7591EP10,RF
70014A10,PKE
21871D10,CLGX
89840210,TRMK
31984610,FCBC
55261F10,MTB
74100420,PDLB
32020910,FFBC
32086710,FMBI
77513310,ROG
32055B10,FIBK
77571110,ROL
81154310,SEB
33690110,SRCE
32051710,FHN
82434810,SHW
06647C10,BKNG
33940530,FLIC
85858610,SCL
34060510,FBNC
86701710,SNR
34346810,FLOW
34443740,FONR
34984710,FORM
34988310,FOSL
35006010,FSTR
35351410,FELE
35461310,BEN
35969410,FUL
96214910,WEYS
36357610,AJG
96945710,WMB
84790A10,SPB
37190110,GNTX
94974610,WFC
65473P10,NI
83083010,SKY
95081710,WSC
85206110,S
85366610,SMP
38248610,GOOD
03743Q10,APA
57708110,MAT
38410910,GGG
7588710,BDX
6780610,B
38941430,GRAY
96216610,WY
23355L10,DXC
45950610,IFF
40179110,GILD
25365110,DBD
40412510,HCCI
87254010,TJX
23102110,CMI
41987010,HE
1933010,AMOT
41959610,HVT
42026110,HWKN
42190610,HCSG
70109410,PH
2003910,AT
G4388N10,HELE
46121H10,IIN
42721010,HRTG
94884910,WMK
71404610,PKI
97809710,WWW
43708310,HOME
74762010,NX
40425110,HNI
43900210,HOOK
47836610,JCI
65158710,NEU
83269640,SJM
58943310,MDP
44565810,JBHT
44615010,HBAN
44732410,HURC
01741R10,ATI
85450210,SWK
58013510,MCD
85423110,SXI
91820410,VFC
72450810,PDM
45337010,ISTR
45344030,IHC
45664510,INFO
48917010,KMT
45680910,INFN
30040W10,ES
00770F10,AEGN
87936910,TFX
45791510,INGN
5361110,AVY
5301510,ADP
45866530,TILE
45868310,INGR
15083760,CVM
25454310,DIOD
30065820,EXEL
45990210,IGT
45867G10,IDCC
G5150210,JCI
46120310,IVC
57174810,MMC
83088M10,SWKS
78644920,SFE
39843310,GFF
18905410,CLX
37246010,GPC
12705510,CBT
44107P10,HST
48248010,KLAC
76775487,RAD
7.42E+14,PNRG
48347610,KALV
48354810,KAMN
17273710,CC
50247010,LB
48815220,KELYA
29338910,EBF
12611710,CNA
17187150,CBB
31385510,FSS
49427410,KBAL
95710,ABM
53037010,LC
86835810,SGC
46625H10,JPM
87901J10,TGNA
50075930,KTOS
30274710,FIT
50187510,KIDS
50216110,LSI
50533610,LZB
51280710,LRCX
61536910,MCO
51384710,LANC
44485910,HUM
90781810,UNP
51790010,LASR
51868610,LAUR
52077610,LAWS
53418710,LNC
52200510,ANNX
52416410,LECO
8.76E+14,TGT
2917410,ARL
1475210,ALX
9367110,HRB
25406710,DDS
6405810,BK
23585110,DHR
73763010,PCH
53517110,LIND
75281A10,RRC
3071010,AMN
54714310,LOCO
60444210,MNST
90110910,TPC
88642R10,TDW
55377710,MTSC
55277P10,MGEE
53245710,LLY
81685010,SMTC
58441K10,MEG
97463710,WGO
56357140,MTW
88077010,TER
56633010,MCS
69036810,OSG
49455P10,KMI
81756510,SCI
57055910,MFAC
92240G10,VVC
57641110,MSTR
57685010,MTRX
57734510,MLP
87182910,SYY
57978020,MKC
77032310,RHI
36867810,GENC
88033G40,THC
93965310,WRE
29442910,EFX
5714910,BKR
38480210,GWW
52605710,LEN
43147510,HRC
58740510,MRBK
29670G10,WTRG
58940010,MCY
41805610,HAS
46069010,IPG
59064R10,MLAB
5652510,BMI
51549810,LAND
59152020,MEI
38463710,GHC
2932810,AROC
45005810,IRT
82617610,SIEB
59408710,MIK
59490810,FAST
38308210,GRC
59511210,MU
59513810,MSON
59668010,MSEX
85916010,SPR
59831110,MCBC
60054410,MLHR
74586710,PHM
78430510,SJW
36110,AIR
60782810,MOD
60941410,MLAB
89652210,TRN
60972010,MNR
61635010,MORF
78463510,SPXC
69349H10,PNM
57669010,MTRN
93114210,WMT
63040210,NSSC
63234610,NATH
54634710,LPX
20588710,CAG
89464410,TREC
45230810,ITW
21036910,CSTL
63851710,NWLI
5564530,BRT
63902710,NATR
87908010,TRC
63933810,NAVI
37732010,GLT
64121710,NSCO
66978210,NOVT
38241040,GDP
5849810,BLL
65410610,NKE
92829810,VSH
65566310,NDSN
65566410,JWN
105510,AFL
92243A20,VXRT
66585910,NTRS
88077910,TEX
66765N10,NWN
31374720,FRT
66979010,NOVA
36225V10,GPX
87157J10,SCOR
84474110,LUV
75875010,RBC
1880210,LNT
67523210,OII
36476010,GPS
49726610,KEX
2581610,AXP
67786410,ODC
17123210,CB
60871R20,TAP
90265310,UDR
45814010,INTC
68022310,ORI
6050510,BAC
8.94E+14,TRV
81725T10,SXT
68240610,OLP
55081910,LDL
68605010,OPRT
G5960L10,MDT
68964810,OTTR
69073210,OMI
83303410,SNA
69347510,PNC
38455610,GHM
69371810,PCAR
89109210,TTC
31428X10,FDX
2593210,AFG
3265410,ADI
52466010,LEG
65122910,NWL
69806510,PANW
69888410,PAR
84489510,SWX
790310,AMD
70066610,PKOH
25765110,DCI
54866110,LOW
635130,AE
70334310,PATK
9057220,BIO
42829110,HXL
70432610,PAYX
70432710,PAYC
G0403H10,AON
24801910,DLX
61539420,MOGA
9211310,BKH
75421210,RAVN
70963110,PNR
88355610,TMO
12640810,CSX
09257W10,BXMT
44559110,HUN
3.80E+14,GL
69327R10,PDCE
37429710,GTY
71690810,PETQ
95530610,WST
71722510,PHAS
59000710,MTOR
3216510,ASO
95059010,WEN
00847J10,AGYS
26414710,DCO
72452010,PFSI
11523610,BRO
73912810,POWL
84546710,SWN
87943382,TDS
58935440,MAX
92929710,WMS
12552310,CI
16359R10,CHE
65584410,NSC
74311610,CARE
74331510,PGR
64602510,NJR
74388510,PROV
74460D10,PSA
74622830,PCYO
4.01E+13,AGX
74730910,QUAD
74731610,KWR
25746U10,D
65343C10,NXGN
49326710,KEY
74912010,QUOT
74960710,RLI
90470810,UNF
74968510,RPM
52490110,LM
62846410,MYE
83186520,AOS
75040710,RDFN
21664840,COO
91192210,USLM
87815510,TISI
92343V10,VZ
00206R10,T
90297330,USB
43707610,HD
55267610,MDC
78442P10,SLM
20451210,CTT
75990310,REAL
94262220,WSO
95810210,WDC
76048010,REPH
74966010,RES
2687478,AIG
46564T10,ITI
91325910,UTL
77288710,ROCK
8930210,BIG
26842V20,EEX
42250P10,PEAK
78028710,RGLD
1.41E+54,CMO
86791410,STI
94874110,WRI
78411710,SEIC
81630010,SIGI
G9618E10,WTM
78662710,SAGE
78665010,SLAB
76162410,REX
61744644,MS
80707610,SCHL
3013710,AMK
80876810,SMSI
33587T10,FF
81001610,SSTI
55262020,NOW
N5946510,MYL
81170780,SBCF
65248770,NWS
75473010,RJF
81375910,SAFE
21036P10,STZ
81512610,STAG
41282210,HOG
48666K10,KBH
10536820,BDN
88947810,TOL
17296742,C
27886510,ECL
2127110,ALTA
29462810,EQC
72146710,PPC
83545310,SONA
91529Y10,UNM
83549510,SON
1717510,Y
2989910,AWR
5826410,BLD
89832Q10,TFC
31632610,FNF
82569810,SHYF
3938810,ARCH
45816D10,INS
85231230,STAA
63590610,NHC
85388720,SR
85525610,STAR
85747710,STT
9.14E+14,UHT
85959110,STRS
86034210,SVC
86037210,STC
86063010,SF
86366710,SYK
86415910,RGR
87157310,SCOR
87873610,TECH
91829F10,VOXX
05722G10,BKR
87927110,TELL
98147510,INT
88654710,TIF
365410,ABMD
14365830,CCL
55262C10,MBI
73106810,PII
80851310,SCHW
12552710,CIM
51508610,LE
92240M10,VGR
72378710,PXD
74683K10,PMT
26817Q88,DX
56418H10,MAN
14886520,CALA
91168410,USM
12201410,BR
26441150,DRE
59001A10,MTH
74971D10,RPT
88034510,TNC
59627810,MIDD
00724F10,ADBE
57307510,MRTN
22690110,CMD
66405S10,NBN
88337F10,ODP
2144110,ALTR
45167R10,IEX
32081710,FRME
66877110,NLOK
82301410,TFC
1849010,AGN
89465010,TG
19242210,CGNX
26951420,EGLE
42721110,HTBK
67061H10,GOGO
09073M10,TECH
31563330,FOCS
88033210,TISI
91329810,UNTY
92276F10,VTR
26875P10,EOG
28551210,EA
25379810,DGII
65333G10,NEXT
45031U10,STAR
98974P10,ZIXI
51841510,LSCC
45253H10,IMGN
06646L10,BKNG
36237H10,GIII
39090510,GSBC
69370C10,PTC
22052430,COR
64049110,NEOG
28556250,ECHO
89369110,TRGP
09062W20,BLFS
4990130,ATRA
23791410,DATA
17275R10,CSCO
88516010,THO
12709710,COG
83001810,SXC
43644010,HOLX
79014810,JOE
92581510,VICR
38732810,GVA
40411910,HCA
90225210,TYL
72367010,PFBC
98391910,XLNX
83001P10,SIX
08160H10,BHE
92556H20,VIAC
89623910,TRMB
30214U10,EXPO
92846910,VITL
70065810,PRK
22463320,CRDA
57685310,MTRX
05329W10,AN
12323910,BBCP
12990310,CALB
51861510,LAUR
58988910,MMSI
9.18E+14,VBIV
78477910,STOR
89641210,TACO
92536C10,VERU
29631510,ESE
14915010,CATY
2.23E+14,CVA
66676210,NRIM
62475610,MLI
69371P10,PRIM
25827810,DORM
69360J10,PSB
5333210,AZO
45853L10,ICBK
75886F10,REGN
91290910,X
46222210,IONS
75049110,RDNT
76128Y10,RVI
41012010,HWC
53222Q10,LCUT
74586510,PLSE
38000210,GLYC
00737L10,ATGE
45168D10,IDXX
75893210,RGS
00130H10,AES
795210,APTV
21775310,CORR
22100610,CRVL
85570710,STFC
25442310,DIN
G0176710,ALKS
92532F10,VRTX
61023610,MNRO
74331210,PRGS
88870R10,TVTY
98920710,ZBRA
30230110,EZPW
74267C10,PRA
63501710,FIZZ
09062X10,BIIB
33767D10,FCFS
42217B30,HASI
36020,AAON
04962P30,ATXI
05561Q20,BOKF
21684410,COOP
85924110,STRL
89352910,TRNS
16115710,SAIL
82980720,SITE
67958010,ODFL
63633D10,NHI
00215F10,ATNI
45669M10,INFO
98141910,WRLD
92956610,WNC
44032710,HMN
49446R10,KIM
67098H10,OI
80042210,JBSS
3011120,AMSC
74752510,QCOM
G9782210,PRGO
88162G10,TTEK
97717P10,WETF
42193930,HII
21867P10,CORE
22002T10,OFC
3939210,ARCH
37555810,GILD
60487110,MSON
57684410,MATX
69329Y10,PDLI
81018610,SMG
32022610,FFWM
77669610,ROP
80706610,SCHL
87160710,SNPS
13119310,ELY
32021810,THFF
37475810,PACK
54230710,STAR
71584310,PETS
62877810,NBTB
81766110,SERV
44930G10,ICUI
75382010,RARE
46636710,JACK
55616P10,M
60819010,MHK
21925D10,CNR
04649U10,ASUR
68394810,OPTN
89834920,TRST
108410,AGCO
7.60E+14,RNST
78385910,STBA
61769810,MSTR
97477B30,WINA
36352K10,GNL
31996310,FDC
5278610,CARS
11844010,BKE
03937C10,ARCB
50114810,KRYS
10113710,BSX
50025510,KSS
91347P10,OLED
90337L10,USPH
3849620,ARA
35346910,FC
31982910,FCF
G8473T10,STE
7589610,BBBY
22531010,CACC
23331A10,DHI
50105210,KRON
75915F10,RCII
19723610,COLB
84476910,SWBI
35952H60,FCEL
85524410,SBUX
59514510,MTSI
90249410,TSN
36929910,GENC
15352710,CENT
29256210,WIRE
86316720,STRS
70468310,PEAK
88579510,TNET
02926R10,AMRS
68193610,OHI
30024010,EVRG
50217510,LTC
33741H10,FUNC
16307210,CAKE
09247G10,BFC
00191U10,ASGN
53700810,LFUS
P1699413,BLX
20468010,CPRX
87342510,TACO
60315810,MTX
40413210,HCC
70339510,PDCO
75023610,RDN
77907710,RH
90467720,UFI
253520,AAN
48282T10,KAI
53220K50,LGND
87666410,TCO
62629K10,MIC
38869010,GPK
81190410,CKH
29396110,EVTC
40425J10,HMSY
45683610,INFU
78454L10,SM
91359V10,UVE
90389910,ULBI
68379710,OPY
00753M10,AERI
88554D20,DDD
91034010,UFCS
65338K10,NXGN
68752M10,OFIX
G7T16G10,SPNS
74167P10,PRMW
90278810,UMBF
44891N20,IAC
22890310,CRY
16516774,CHK
63234710,NATH
70978910,PEBO
77451510,RCKY
91348310,UEIC
G0177J10,AGN
82981J10,SITC
1644010,AAT
29472R10,ELS
1131110,ALG
05367P10,AVID
16861510,CHS
46120210,INTU
51509810,LSTR
59501710,MCHP
2501210,ACHC
82488910,SCVL
86102510,SYBT
17148410,CHDN
78659830,SGA
H1467J10,CB
21872870,CRM
05945F10,BANF
34988V10,FOSL
46631310,JBL
67103H10,ORLY
78647510,SAFT
80105610,SANM
33640910,SHEN
89609510,TCBK
11282X10,BPYU
3833610,ATR
V7780T10,RCL
3525510,ANIK
37386510,GABC
40624G30,HMHC
75935160,RGA
42194610,HR
423910,AKR
H8817H10,RIG
87546510,SKT
90329340,USG
37253A10,THRM
6846310,BBSI
30244510,FLIR
2000210,ALL
69881310,PZZA
80874P10,SGMS
23281510,CYRX
74052F10,PFC
61735810,MG
40049C10,RC
87484T10,TALO
13313110,CPT
00754R10,ASUR
97425010,WINA
36619910,GRMN
52729510,LEVL
60902710,MCRI
71375510,PFGC
89591210,TRIP
94947010,WELL
9972410,BWA
29476L10,EQR
80439510,BFS
59100U10,CASH
62458010,MOV
91390310,UHS
21079530,CAL
P7482310,PB
7745410,BDC
00507V10,ATVI
20160710,CLBK
24353710,DECK
36665110,IT
74727A10,QCRH
76131210,RUN
76939710,RVSB
04911A10,AUB
10330410,BYD
03939B10,ARCH
52904310,LXP
91748810,UTMD
75884910,REG
62944T10,NVR
04878P10,ABR
15649210,CNTY
32020R10,FFIN
46574110,ITRI
34985310,FWRD
68027710,OSBC
70348110,PTEN
64944510,NYCB
37468910,ROCK
91828410,VSEC
80688210,SCHN
90278Q10,UFPI
92555010,VIAV
91704710,URBN
45337C10,INCY
55305B10,MHO
89101310,TRU
12552558,CMCT
73814010,PTRS
55626910,SHOO
51861310,LAUR
90267310,UFPT
58470H10,MED
92343610,VRTS
04280A10,ARWR
91979410,VLY
19057T10,PAR
27743210,EMN
82880610,SPG
86667410,SUI
92025310,VMI
40521710,HAIN
31314830,AGM
92043710,VALU
59522J10,MAA
1265310,ALB
07556Q88,BZH
57328410,MLM
75490710,RYN
92178410,VERY
10111910,BPFH
23426410,DAKT
23332B10,DSPG
89235610,TSCO
74955L10,RGCO
3779710,APTX
09058V10,BCRX
20701410,CONE
21720410,CPRT
51504L10,LARK
62007110,MPAA
62933710,NNBR
80603710,SCSC
68162K10,ZEUS
5348410,AVB
55438210,MAC
74341010,PLD
849210,ADC
26969P10,EXP
52186510,LEA
2.55E+13,AEO
50568810,BOOT
12501N10,CUBE
36555810,GDI
12003510,RARE
78516210,SABR
84338010,SMBC
03076K10,ABCB
64026810,NKTR
58504P10,MEDP
70756910,PENN
82907310,SSD
04961R10,ATOM
4845610,ACBI
69046610,OVID
4.52E+14,IMAX
50345960,LJPC
59528210,MCBS
59266510,MTRN
82655910,SIGA
29717810,ESS
43128410,HIW
53117210,LPT
03748R74,AIV
39365710,GBX
45817Y10,ITGR
57712810,MATW
36162J10,GEO
55448910,CLI
00738A10,ADTN
60055120,MLR
57053810,MRKR
85340310,STND
92710740,VLGEA
75950910,RS
92763840,VRA
82968B10,SIRI
23726610,DAR
4532710,AZPN
22284P10,CVLG
49906410,KNX
86345110,STRO
90338N20,USX
75610910,O
14040H10,COF
58155Q10,MCK
2358610,UHAL
42217V20,FIT
66734010,NWBI
92241710,VECO
45068B10,ESI
45765U10,NSIT
76009N10,RCII
92904710,VRTX
11434010,BRKS
86189610,SNEX
45103N10,ICHR
449810,ACIW
92923610,WDFC
25674610,DLTR
63651810,NATI
3.07E+13,ABC
13722510,CNR
93882410,WAFD
12480510,CBZ
62482R10,COOP
849410,ABTX
97510,ANET
G2377310,CWCO
41316010,HLIT
65332910,NXGN
23719410,DRI
41987910,HA
53223X10,LSI
92974010,WAB
53390010,LECO
5348710,AVNT
5603910,BY
25470M10,DISH
76115210,RMD
82922610,SBGI
12518010,ENV
35671D85,FCX
46127U10,IVZ
81761L10,SVC
95709010,WABC
45798520,IART
49373210,KFRC
75807540,RWT
5047310,AUBN
27603910,EBAY
67000B10,NOVT
58502B10,MD
G0450A10,ACGL
81707050,SENEA
83215420,SMSI
41086710,THG
G3223R10,RE
23918K10,DVA
1747610,ALLE
23590610,DFIN
29530P10,ERIE
62855J10,MYGN
73278L10,POOL
74934Q10,RICK
16150R10,CCF
797310,AEIS
68375N10,OPK
34387310,FFIC
06652V20,BANR
80640710,HSIC
45766J10,INSG
46114810,IVAC
64110D10,NTAP
66774610,NWPX
12021X10,PARR
82705710,SSTI
59935P20,MLSS
11825510,BKI
51843910,EL
80854110,SWM
94184810,WAT
88322Q10,TGTX
14790510,CSTL
17737610,CTXS
29084Q10,EME
03168L10,AMRX
29089W10,ISEE
67020Y10,NUAN
41651510,HIG
55353010,MSM
67000240,NVAX
36111560,FRG
84265V10,SCCO
76974210,ROAD
78668010,SAGE
76152560,REV
96913310,WLL
96990410,WSM
1535110,ALXN
3416410,ANDE
19933310,CMCO
12634910,CSGS
46284V10,IRM
51476610,LNDC
67771910,OVBC
75381710,RAPT
39762410,GEF
15643110,CENX
39762420,GEFB
44332010,HUBG
M8411K10,SMPL
59283R10,CASA
14934810,CATB
89869720,TCX
48273810,KVHI
30049A10,EPM
80036310,SASR
84649210,SPLK
87123710,SYKE
69912Y10,PRG
89989610,TUP
4311320,ARTNA
98144710,WRLD
64125C10,NBIX
67010C20,NOVT
74050M10,PFBI
85227Q10,SSNC
00767T10,ASB
30307510,FDS
98181110,WOR
03662Q10,ANSS
23813410,DATA
20786W10,CNOB
14757U10,CASI
37155910,GWR
49338N10,KEYS
89785X10,TBI
74386810,PROV
N7248212,QGEN
75968A10,REGI
78184630,RUSHB
30239F10,FFG
G7496G10,RNR
14808P10,CASS
37416310,GERN
67523410,OCFC
70557310,PEGA
86272C10,STRA
25392210,DCOM
40161710,GES
55315D10,MMAC
4990510,ATRC
14390510,CSV
37892710,GOGO
38097510,JACK
51281610,LAMR
68404L20,OPCH
59163F20,INFO
64114W30,NTST
85891210,SRCL
89854H10,TTEC
5268610,ANET
84763A10,SPPI
45385410,INFN
97064610,WLFC
289620,ANF
5561760,BOX
38937510,GTN
90328M10,USNA
3979310,ARI
62955J10,NOV
89681810,TGI
70959W10,PAG
09180C10,BJRI
42856710,HIBB
45692110,INFN
82921310,SMCI
45769F10,INOV
98970110,ZION
67018T10,NUS
81105440,SSP
00430H10,AXDX
5376210,AVIR
8865810,BCOR
34656310,FORR
29426810,PLUS
77637810,PLUS
81169910,SEAC
85811910,STLD
91116310,UNFI
53679710,LAD
21891610,CNO
6.29E+14,NCR
74834L10,DGX
88034910,TEN
77390310,ROK
45778Q10,NSP
84044110,SSB
49427F10,KRC
89618L10,TGH
91329010,UNTY
03072M10,AMH
15708510,CERS
03782R10,APPS
42328H10,HLIO
92346J10,VCEL
13967410,CCBG
82704810,SLGN
74316410,PRTK
17273730,KMX
91879Q10,MTN
29873610,EEFT
97650W10,WTFC
16411R20,LNG
19202510,CVLY
33793070,FBC
87405410,TTWO
1527110,ARE
3209510,APH
39075210,GL
49890420,KNL
2313510,AMZN
75091710,RMBS
83185820,SCCO
85860310,TSC
80360710,SRPT
69478X10,PPBI
G6958610,PEAK
74736K10,QRVO
82921410,SLP
10112110,BXP
19990810,FIX
57793310,MMS
75121210,RL
85569C10,SRT
27727610,EGP
4592010,ATEN
42330P10,HLX
23337740,DXPE
28291410,EGHT
M4729810,GALT
4.28E+34,HSKA
06417N10,OZK
05548J10,BJ
21871N10,CXW
48020Q10,JLL
17038810,CPS
3110010,AME
78440X80,SLG
83437610,SOI
91913Y10,VLO
89417T10,TRIP
45766A10,INVA
51165610,LKFN
74318810,PGEN
6684910,BHB
G6577310,NAT
98849810,YUM
59001K10,MTOR
31164210,FARO
16890510,PLCE
74151110,PSMT
82691710,SIGA
3571040,NLY
13303410,CAC
26203710,DRQ
78377T10,RHP
39890510,GPI
86183P10,SRI
G3673810,FDP
12541W20,CHRW
14744810,CWST
15202L10,CSR
67104410,OSIS
3037910,AVID
16990510,CHH
10919510,BFAM
24822110,DNLI
12753720,CDZI
74340W10,PLD
825210,AMG
26884U10,EPR
59161010,MGM
59268810,MTD
83545G10,SAH
5276910,ADSK
45718710,INGR
4135620,AAIC
59540G10,MPB
91136310,URI
29414D10,EVHC
P7339810,NYMX
73927610,POWI
71363P10,PRDO
12466Q10,CFFI
24869P10,DENN
42722X10,HFWA
43940T10,HOPE
77437410,RMTI
88709810,TSBK
9.23E+14,VRSN
92936U10,WPC
44951W10,IESC
85309710,AJX
83169D10,SMED
05971J10,BXS
7.48E+14,PWR
85815520,SCS
13973310,CARS
37184C10,GNSS
11373M10,BRKL
19851610,COLM
45904410,IBOC
66954910,NWFL
69318J10,CNXN
86887310,SRDX
3734710,ANH
20563P10,CIX
38388F10,GRA
57190320,MAR
8651610,BBY
81211K10,SEE
93005910,WDR
55272X10,MFA
26842310,EFC
19623P10,CBAN
12618T10,CRAI
45580R10,INDT
56275010,MANH
77563410,ROLL
83568G10,SONO
90421410,UMPQ
18051W10,CLR
45768S10,IOSP
71833310,PHR
3165210,AMKR
40460910,HCKT
00246W10,AXTI
40076410,GNTY
62473L10,MPWR
84470P10,SBSI
18270P10,CLAR
31421110,FHI
03027X10,AMT
45845L10,ICPT
11766510,BMTC
56790810,HZO
81685110,SRE
G0260210,DOX
19244610,CTSH
8.86E+33,BYND
90385D10,ULTI
59497240,MSTR
76075910,RSG
46447810,IPI
7734730,BELFB
76028120,RBCAA
22160N10,CSGP
90116710,TWTR
42692710,HTBK
79522610,SAL
91728620,UBA
22822V10,CCI
19074W10,CBZ
27864210,EBAY
51475710,LAND
21869Q10,COMM
12073840,BNL
31938320,BUSE
12612810,CCNE
35138T10,FOX
42221N10,HPP
74360610,PB
31431B10,FNHC
45773H20,INO
12768710,CZR
88550210,TRV
83125X10,SNBR
9522910,BCOR
2406110,AXL
16358210,CMCL
42782550,HT
31942S10,FCAP
38101310,GDEN
67066G10,NVDA
85917A10,STL
27900H10,ECOM
36143810,GBL
50064320,KFY
93119210,WLDN
10138810,EPAY
27579R10,EWBC
85512C20,SGH
55306N10,MKSI
68267P10,ONEM
09857L10,BKNG
12653C10,CNX
47231910,JEF
2774510,AMNB
25264R20,DHIL
04914Y10,ATLC
14057J10,CFFN
30226D10,EXTR
42281910,HSII
42190310,HEAR
20164710,CFB
38141G10,GS
95082P10,WCC
63910B10,NLS
20360710,CBU
82709410,SILK
12651410,DDD
83056610,SKX
31561610,FFIV
31758540,FISI
20846410,CNC
48203R10,JNPR
75156710,RAMP
78410G10,SBAC
85285720,STMP
91307C10,UTHR
82620P10,BSRR
73931J10,PWFL
2756810,AMC
52610710,LII
25383010,DOC
70458630,PAE
74790650,QMCO
36872P10,GNSS
22160K10,COST
09061G10,BMRN
62914B10,EGOV
31866P10,FNLC
39435710,GCBC
48123V10,JCOM
29255410,ECPG
01988P10,MDRX
92823T10,VHC
71375U10,PRFT
58737610,MBWM
25179M10,DVN
68243Q10,FLWS
66986W20,NOVA
64115T10,NTCT
53216A10,QUOT
3.02E+34,FB
28225C80,EGAN
36519910,GDEN
09247X10,BLK
17273K10,CIR
17471510,CIZN
19576110,CFX
29410P10,EPC
64123410,NEU
25525P10,DHC
96945510,WCG
00971T10,AKAM
26894810,EGBN
36269P10,GAIA
63935M20,NAVI
72704940,PLRX
72919P20,PLUG
86149C10,STOK
86722Q20,TPC
69325Q10,PCTI
01167P10,ALSK
16117M10,CHTR
19421R20,CLCT
30212510,EXPE
45252110,IMMR
N6451310,MTCH
69371Y10,PACW
50189K10,LCII
50077B20,KTOS
00846U10,A
26929N10,EVI
45817G20,IDN
87936010,TDY
91131210,UPS
6342510,BMRC
25380710,DMRC
05541T10,BGCP
55422510,MCBC
63486510,NKSH
71709820,PFSW
47214R15,JAZZ
58401N10,MED
69515610,PKG
30225510,EXTN
00847G70,AGEN
14450030,CONE
51163710,LBAI
00289Y10,ABEO
2.82E+14,EW
28035Q10,EPC
92553H10,VG
30213010,EXPD
45774W10,IIIN
M0861T11,ALVR
18060610,CLAR
5.50E+14,LMNX
70214P10,PRTS
82691910,SLAB
30253510,FNWB
2077210,APT
31961010,FBK
59156R10,MET
12738A10,CADE
37637Q10,GBCI
61174X10,MNST
12571T10,CCMP
30161Q10,EXEL
74638910,PRPL
42222N10,HSTM
52887230,LXRX
53814610,LPSN
66996710,NUAN
68218910,ON
80067710,SGMO
36027110,FULT
68287N10,OSPN
62937710,NRG
70211Y10,PRTH
72581M30,PXLW
76254410,RBBN
8468010,BHLB
15986410,CRL
20366810,CYH
92839U20,VC
M0169010,ACCD
14172610,CARE
42047610,HWBK
69526310,PACW
45766930,INSM
4.61E+64,ISRG
37246N10,GDYN
57387410,MRVL
63741710,NNN
8.62E+14,STOR
5454020,ACLS
4004760,ARNA
9569850,BLUE
G3040110,ENDP
45232710,ILMN
14817C10,SAVA
29382R10,EVC
11679410,BRKR
25400W10,APPS
29444U10,EQIX
29664R10,ESPR
86882C10,SRGA
84721510,SPTN
2.65E+14,DNB
05368V10,AVNT
92851S20,V
45826H10,ITGR
05349M10,AVGO
04537Y10,AWH
26660510,DRRX
87305R10,TTMI
87603010,TPR
42628110,JKHY
94271210,WW
G0533010,AX
46119F10,INGN
82312B10,SHEN
44934S20,ICAD
777930,AEGN
45782B10,INSG
76655960,RIGL
70469910,PGC
H2906T10,GRMN
41690610,HBIO
76122Q10,RGP
20557C10,CIO
34341210,FLR
84749R10,SP
98718410,YORW
1625510,ALGN
30063P10,EXAS
41049520,HAFC
21075N20,MCF
37940X10,GPN
56842710,MPX
67802610,OIS
3664210,ATRS
7400210,BE
45383860,IBCP
00845V30,AGR
34349810,FLO
82619750,SI
31983A10,FCBC
81181C10,SGEN
25770120,DGICA
17886710,CIVB
82510710,SHBI
81619610,SEM
91146010,UBFO
44894750,IDT
70454920,BTU
76129W10,RVP
1858110,ADS
31620M10,FIS
60920710,MDLZ
G9662910,WLTW
63905010,NTUS
29911Q20,EVBN
69328210,PDFS
98956P10,ZBH
G1151C10,ACN
55457110,MFNC
68213N10,OMCL
45913010,IBIO
53071810,L
69047Q10,OVV
G1696210,BG
G3682E19,FRO
74044410,PLPC
21989G10,CXP
22748310,CCRN
3675210,ANTM
74251V10,PFG
78408D10,SBFG
70843010,PWOD
174410,AMN
00508Y10,AYI
00751Y10,AAP
15135B10,CNC
98262P10,WW
33832D20,FVE
74432010,PRU
95889210,WNEB
31986N10,FCCY
87157D10,SYNA
19239V30,CCOI
36467W10,GME
56456310,MANT
70450810,PYPL
89361720,TCI
90984P30,UCBI
4343610,ABG
47714310,JBLU
51601210,LCI
76253710,RNA
02148M10,ATRS
20530610,CPSI
64110L10,NFLX
69037010,OSTK
72346Q10,PNFP
92343X10,VRNT
29355X10,NPO
29014R10,ELOX
43903810,HOFT
95123P10,WTBA
00763M10,EYE
96176510,WHG
09060J10,BDSI
211310,COMM
12824610,CVGW
75689M10,RRGB
78184620,RUSHA
50216C10,LYTS
12558110,CIT
05990K10,BANC
29358R10,ESGR
36866T10,GPRO
78709Y10,SAIA
14313010,KMX
17179810,XEC
20030N10,CMCSA
98313410,WYNN
25339310,DKS
21036U10,CNST
15721010,CEVA
70088510,PKBK
69354N10,PRAA
78648T10,SAFT
83175410,SWBI
388130,ACTG
29444U70,EQIX
G9456A10,GLNG
12572Q10,CME
92928R10,WMC
31983510,FCCO
74386T10,PFS
62944520,NVEC
4004910,ARD
42234Q10,HTLF
34637510,FORM
59132420,MUSA
60855R10,MOH
G0692U10,AXS
87968A10,TELL
14956810,CVCO
64111Q10,NTGR
38868910,GPK
37653610,GOOD
88224Q10,TCBI
91527110,UVSP
1.26E+14,CNO
50188920,LKQ
00182C10,ANIP
14622910,CRI
03837C10,APYX
96638750,WLL
20824210,CONN
57115710,MRLN
58058910,MGRC
98390M10,XPER
26821110,DZSI
55279B20,MEIP
2567620,AEL
20451N10,CMP
