cusip,htsymbol
53122987,FWONA
G6672110,NCLH
09739D10,BCC
68571X10,ORC
2968310,AMSWA
75574U10,RC
98978V10,ZTS
20786U10,CNOB
41585810,HROW
32055710,INBK
30210410,XONE
04316A10,APAM
60752510,MODN
72348P10,PF
29251M10,ENTA
30040P10,EVTC
41068X10,HASI
71344810,PEP
81282V10,SEAS
87724P10,TMHC
88338N10,TXMD
16934W10,CMRX
42365Q10,HMTV
45384B10,IBTX
3018810,TNET
04208T10,AHH
15917910,ECOM
09609G10,BLUE
28857810,EARN
3032710,AMTI
02209S10,MO
92908910,VOYA
64828T20,NRZ
70932M10,PFSI
46266C10,IQV
87336U10,DATA
03969T10,ARCT
2313988,AMBC
23204G10,CUBI
29428V10,EPZM
20825C10,COP
63737220,NRC
69365610,PVH
89678F10,TSC
12514G10,CDW
29664W10,ESPR
38046C10,GOGO
40416M10,HDS
65540B10,NDLS
63009R10,NSTG
65249B10,NWSA
65249B20,NWS
64132K10,NBSE
69366J20,PTCT
N7154610,RNA
82835910,SAMG
22207020,COTY
36239310,GTT
3116210,AMGN
18539C10,CWENA
71943U10,DOC
84860W30,SRC
85207U10,S
00847X10,AGIO
53521910,LIND
60468T10,MRTX
02665T30,AMH
29413U10,EVHC
45378A10,IRT
74017N10,PGEN
62675510,MUSA
N3346210,FI
Y0207T10,ASC
35138V10,FOXF
57165B10,MBII
85208M10,SFM
76680R20,RNG
03823U10,AAOI
08180D10,BNFT
31816Q10,FEYE
33830X10,FPRX
62945V10,NVEE
46583P10,ISEE
74051N10,PINC
20368X10,TCFC
57538510,DOOR
03674X10,AR
11120U10,BRX
12201710,BURL
16465110,CHMI
19828720,CXP
21676P10,CPS
29210410,ESRT
56632410,MMI
74736A10,QTS
75524W10,RMAX
68268W10,OMF
92247510,VEEV
G3198U10,ESNT
00771V10,AERI
20337X10,COMM
29272B10,EIGI
31189P10,FATE
36467J10,GLPI
55609910,MGNX
83587F20,SRNE
92337F10,VCYT
21075110,TCS
27746140,KODK
80685710,SLB
30224P20,STAY
90184L10,TWTR
G0176J10,ALLE
G3788M11,ESGC
31931U10,FRBA
44157R10,HMHC
48576U10,KPTI
50187T10,LGIH
62920930,NMIH
81238710,S
00165C10,AMC
03852U10,ARMK
14912Y20,CTT
29267170,UUUU
43300A20,HLT
49457710,KIN
G6891L10,PANL
98401F10,XNCR
68235P10,OGS
28618M10,ESI
74978Q10,RSPP
80283M10,SC
14075510,CARA
28249U10,EIGR
25303110,DRNA
38000Q10,GLYC
46116X10,ITCI
24549610,TACO
56117J10,MBUU
90400D10,RARE
89422G10,TVTX
20602210,CNCE
26979610,EGRX
33938J10,FLXN
45780L10,INGN
76133010,RVNC
92228010,VRNS
45780R10,IBP
49926D10,KN
50574310,LADR
36472T10,GCI
212110,ATEN
09627J10,BRG
69007J10,OUT
74911910,QUOT
74736L10,QTWO
89628810,TNET
3759810,APOG
03820J10,AGTC
00972D10,AKBA
00181T10,AMRK
64049K10,NLTX
16676410,CVX
02079K10,GOOG
9530610,BLBD
51509F10,LE
75629F10,REPH
90214J10,TWOU
03890D10,ARAV
02005N10,ALLY
17858710,CIO
31154R10,FPI
40011010,GRUB
60786M10,MC
70432V10,PAYC
55955D10,MGNI
00856G10,AGFS
3783310,AAPL
63938C10,NAVI
71742Q10,PAHC
71104010,PFIS
78573M10,SABR
84920Y10,SPWH
4525EP10,IMUX
42727J10,HRTG
67011P10,DNOW
70187710,PE
98936J10,ZEN
Y2106R11,LPG
00847L10,AGRX
06654A10,BWFG
14174T10,CTRE
32086610,FMBH
89214610,TOWN
G7326810,QTNT
76118L10,RESN
81768T10,SFBS
G8807B10,TBPH
75508B10,RYAM
88739910,TMST
03209R10,AMPH
3969710,ARDX
23257D10,CBAY
15117P10,CBMG
38268T10,GPRO
59408Q10,MIK
3822210,AMAT
G4756710,INFO
75046920,RDUS
4041310,ANET
04523Y10,ASPN
15650430,CCS
92345410,VRTV
L9340P10,TSE
00790R10,WMS
89464810,TREC
14880610,CTLT
69888T20,PARR
87165B10,SYF
89609W10,TPCO
89820210,TRUP
L7296710,OEC
00773U10,ADVM
88738910,TKR
3890310,AQUA
14167L10,CDNA
42226A10,HQY
46266A10,IRMD
46134L10,ISTR
53122985,FWONK
26860310,LOCO
56854Q20,MRNS
89051610,TR
60338010,NERV
67576A10,OCUL
3952910,ARCH
78667J10,SAGE
46071F10,XENT
78375410,RYI
26925010,ETON
53146510,LTRPA
12769G10,CZR
92242T10,VEC
17461010,CFG
21232630,CFRX
N0104510,AFMD
1.05E+24,BCLI
1.25E+14,CDK
36192A10,GWGH
59630420,MBCN
49338L10,KEYS
05350V10,AVNS
49428J10,KE
12479G10,CBFV
53030710,LBRDA
05601C10,BGSF
9940610,BOOT
29357K10,ENVA
39141610,GWB
64869110,SNR
94419L10,W
98919V10,ZAYO
10948W10,BSIG
53030730,LBRDK
4651310,ATRA
13089P10,CALA
23833710,PLAY
74365U10,TARA
82621J10,SIEN
92345110,VBTX
64157F10,NVRO
69924R10,PGRE
4269710,ARAY
86212110,STOR
G0750C10,AXTA
89910,ADMA
83420320,SLNO
19249H10,CHRS
32026V10,FFWM
31572Q80,FGEN
35803910,FRPT
56584910,MRO
4274410,AROW
47973J10,JYNT
30048L10,EVFM
69354M10,PRAH
8.97E+34,TBK
91544A10,UPLD
52603A20,LC
98139A10,WK
23283X20,CTSO
G5005R10,JRVR
91704F10,UE
10316T10,BOX
81904710,SHAK
92837710,VSTO
33583410,FNWB
22190710,ICBK
27616P10,DEA
38983D30,AJX
46185L10,NVTA
92916010,VMC
92866110,VNRX
98401710,XHR
7877130,BLPH
45781D10,INOV
77313F10,RCKT
03676C10,ATEX
65341D10,NXRT
86614U10,SUM
91325V10,UNIT
16961L10,KDNY
09627Y10,BPMC
48349710,KALV
17175710,CDTX
21833P10,CRBP
65342K10,NEXT
92825410,VIRT
92686J10,VKTX
98400H10,XBIT
38023710,GDDY
4548710,ASB
63787010,NSA
G4863A10,IGT
18539C20,CWEN
03784Y20,APLE
20369C10,CHCT
19459J10,COLL
33812L10,FIT
36473H10,GCI
12685J10,CABO
89055F10,BLD
16385110,CC
29272W10,ENR
G5480U15,LILAK
G5480U13,LILA
81255T10,SPNE
50075410,KHC
1164210,ALRM
03783C10,APPF
51654410,LNTH
81750R10,MCRB
72079510,PIRS
2134710,ALTA
97415510,WING
30050B10,EVH
37732210,GKOS
37937820,GNL
34484910,FL
4643310,ATRO
89400J10,TRU
91336L10,UNVR
70450Y10,PYPL
16706W10,CHMA
75956B10,RBNC
22905030,CYRX
76674Q10,RMNI
53803X10,LOB
57637H10,MCFT
63230710,NTRA
74383L10,PVBC
05580M10,RILY
75342210,RPD
91838510,VTVT
98954M20,Z
88250810,TXN
68341610,OOMA
81752R10,SRG
Y2685T13,GNK
6590810,BANC
44159310,HLI
74640Y10,PRPL
86771W10,RUN
78469X10,FLOW
69343T10,PJT
12640210,CSWI
23753F10,DSKE
75901B10,RGNX
4881610,ATRC
70975L10,PEN
G5509L10,LIVN
32008D10,FDC
42824C10,HPE
4826920,ACBI
30227H10,EXTN
35086T10,FCPT
28102010,EIX
71377A10,PFGC
44109J10,TWNK
74624M10,PSTG
01748H10,ABTX
3279730,AVXL
23284F10,CTMX
97137810,WSC
G8534710,SBBP
86881A10,SGRY
4552810,AC
85223410,SQ
05464T10,AXSM
26443V10,DLTH
29460X10,EQBK
32043P10,FGBI
50127T10,KURA
G1483810,MIME
57667L10,MTCH
74967R10,RMR
92915B10,VYGR
Y9530810,WVE
05351W10,AGR
69036R86,OSG
68235C10,OCX
83190L20,SMBK
G0624210,TEAM
98138J20,WKHS
36164Y10,GCP
94909010,WBT
28106W10,EDIT
6.54E+14,NCBS
87164F10,SNDX
92672L10,VRAY
90431120,UA
53122970,BATRA
53122988,BATRK
53122940,LSXMA
53122960,LSXMK
00773J10,AGLE
17107740,CDXC
37946310,GWRS
75700L10,RRR
81374A10,SCWX
15136A10,CDEV
2922710,ARA
91822J10,VBIV
45688C10,NGVT
00401C10,ACIA
59774210,MSBI
45826J10,NTLA
74587B10,PLSE
36251C10,GMS
82982L10,SITE
90041L10,TPB
91200810,USFD
34959J10,FTV
41165Y10,HONE
63010410,NH
81621210,SELB
87184Q10,SYRS
4764910,ATKR
247410,AZZ
37954A20,GMRE
90138F10,TWLO
G9078F10,TRTN
48283N10,KDMN
92531L20,VRS
49714P10,KNSL
93075210,WTRH
70387R10,PAVM
45320410,PI
87357P10,TCMD
87266J10,TPIC
04965B10,ATOM
32051X10,FHB
64132R10,NRBO
58506Q10,MEDP
7.44E+14,PTGX
04650Y10,HOME
00773T10,ASIX
25787G10,DFIN
92532W10,VSM
82900L10,SMPL
14070T10,CSTR
29978A10,EVBG
35966410,FLGT
67059N10,NTNX
87337910,TRHC
26856L10,ELF
30257X10,FBK
92047W10,VVV
G0772R20,NTB
G0084W10,ADNT
98850P10,YUMC
1387210,AA
09239B10,BL
34960W10,FRTA
45005610,IRTC
30227M30,XOG
37576610,G
51327210,LW
38255010,GT
509810,GOLF
03940R10,ARCH
13462K10,CWH
Y4105310,INSW
36240910,GTYH
74275G10,PRTH
57055L10,MRKR
G0684D10,ATH
20678710,CNDT
43283X10,HGV
70051710,PK
73317470,BPOP
5963510,BPOP
45781V10,IIPR
68621F10,ORGO
G4740B10,ICHR
70788V10,PVAC
88675R10,TIG
92214X10,VREX
6254010,BOH
47580P10,JELD
91345610,UVV
65290C10,NEX
74952710,REVG
3272410,ANAB
48111610,JNCE
18885T30,CLPR
35039210,FBM
46187W10,INVH
51861320,LAUR
65019410,NBEV
42786610,HSY
74347M10,PUMP
L0223L10,ARD
00973N10,AKTS
G1083010,BYSI
46005L10,IMXI
92511U10,VRRM
40749710,HLNE
65342T10,NODK
80689H10,SNDR
67929510,OKTA
98585N10,YEXT
93627C10,HCC
12739A10,CADE
18914U10,CLDR
29103W10,EEX
33975010,FND
81617J30,WTTR
68337310,OTRK
69324R10,PCSB
50104410,KR
70455110,BTU
38241084,GDP
48251K10,KREF
45687V10,IR
1.46E+14,CARS
96758W10,WOW
03782L10,APPN
30779N10,FMAO
3621LQ10,GTHX
69046910,OVID
G8232Y10,SGH
M9608810,URGN
92347M10,VERI
92840M10,VST
83418M10,SOI
G1119610,BHVN
12441110,BY
38741L10,GPMT
72964010,PLYM
78645L10,SAFE
55966310,MGY
04685N10,ATNX
05360L20,ATXI
10104410,BOMN
16282810,CKPT
29667J10,ESQ
59045L10,MRSN
G6375R10,NESR
82536T10,SSTI
46590V10,JBGS
87266M10,TRTX
10922N10,BHF
13173L10,CLXT
18976310,CODX
48311910,KALA
71639T10,PETQ
74930B10,RBB
75737F10,RDFN
90238J10,TYME
9630810,BVH
6646710,BKNG
G1757E11,CMCL
26614N10,DD
6452010,BPRN
04530L20,ASPU
00436Q10,ACEL
24984K10,DMTK
20670410,BBCP
62818Q10,MBIO
30607B10,FLMN
09215C10,BKI
40701T10,HBB
40417F10,HFFG
24344T10,DCPH
50114710,KRYS
57778K10,MAXR
34623210,FOR
87105L10,SWCH
14178810,CARG
63845R10,EYE
