Date,Text_clean
2020-12-31,Ash So ahead of your time our time
2020-12-31,    SepticEye Ash  Husband Those last two slots seem to switch around a bit It was Bo and Welyn then Tina then Tina and Welyn now back to Welyn and Bo
2020-12-31,   SepticEye Ash  Husband Yp this is good for an anime show
2020-12-31,Ash HAPPY NEW YEARS ASH well see you in a bit in 2021 lol
2020-12-31,Ash take care ash we love u lt3333
2020-12-31,Ash HAPPY NEW YEAR ASH 
2020-12-31,   SepticEye Ash  Husband ALL IN 5
2020-12-31,Ash Rest well ash  Hope you feel better
2020-12-31,Ash Happy New Year Ash
2020-12-31,   Ash U really think they dont go through the same thing  ur crazy if you think soevery 20K andy has those kind of viewers like it or not xqcs community is a bit more extreme THATS IT as I said use it to ur benefit dont overthink it
2020-12-31,   Ash What he will do is his business which he failed to do Why doesnt other people like nickmercs or asmon pulling 70k viewers have to deal with this
2020-12-31,   Ash Its a good thing that Im nowhere near the school that youll inevitably end up shooting
2020-12-31,Ash Ash kawai i die  
2020-12-31,  Ash Yeah the most braindead and toxic community ever as everyone knowsThis guy shouldnt even play with other people as long as he has this community So selfish
2020-12-31,Ash Super Riftquaza
2020-12-31,   SepticEye Ash  Husband 
2020-12-31,Ash Happy new year ash 
2020-12-31,lola ill have to tweet out a master list later on when im home from work but the standout is definitely Ash Shes just so genuinely helpful and kind to all the other content creators and shes funny too 
2020-12-31,Ash Happy New Year Ash See you in 2021
2020-12-31,   SepticEye Ash  Husband This is awesome My favorite group
2020-12-31,Ash Dw stay well 
2020-12-31,Ash Take are Ash hope you feel better soon
2020-12-31,Ash Np need for apologies take care  well be here when youre feeling better
2020-12-31,Ash Happy Nee Year Ash
2020-12-31,   SepticEye Ash  Husband 
2020-12-31,Ash HAPPY NEW YEARS ASHHHHH
2020-12-31,Ash  Just 4 more hours for me
2020-12-31,   SepticEye Ash  Husband Your art style is so pretty
2020-12-31,Ash is an angel and ill fight anyone whos mean to her 
2020-12-31,   SepticEye Ash  Husband WE LOVE TEAM J10 IN THIS HOUSE
2020-12-31,Ash hny new zelander
2020-12-31,Ash Happy new year to you Ash Question What are your pronouns Ive been getting alot of shit for saying she if that was incorrect I apologize
2020-12-31,Ash You are my first twitch subscription Im so glad I found you through the among usrust videos Love your content and play style Thanks for making the end of a dreadful year a little better 
2020-12-31, aiyappa   Ash yikes imagine being so sensitive about another person being sensitive What a pathetic human being 
2020-12-31,   SepticEye Ash  Husband I love this so much
2020-12-31,Bro i recently started to watch her but i love ash  Ash
2020-12-31,Ash Happy New Year Keep being unapologetically you
2020-12-31,   SepticEye Ash  Husband OH JESUS This is so Good  Happy New Year btw 
2020-12-31,Ash Happy New Year Ash 
2020-12-31,Ash Happy New Year Ash I hope youre having a fabulous daynight and that youre doing well Youre one of my favorite streamers to watch and your content is absolutely top tier Enjoy the celebrations and cant wait to watch your next stream lt3
2020-12-31,     Ash       Are you confused what the words viewers mean I understand betaTox dont read because its hard for them  but I assume you losers know what viewer means Jesus incel read one book
2020-12-31,   Ash       Is that supposed to impress me Losers in bubbles stick together
2020-12-31,Ash Go rest 
2020-12-31,Ash Happy New Year AshThank you for making my 2020 better  I cant wait to spend more time with you watching ur streams
2020-12-31,     Ash       He wasnt bantering to Tyler he said it to his chat are you small brained or you just another Twitter bot from X
2020-12-31,   Ash       This is a paper boy hat Incels cant count incels cant add incels never heard of CRISPR incels dont know difference between rent and profit and now incels dont know what hats are Is there a purpose to you people
2020-12-31,Ash Ash is in the future Happy new years to you 
2020-12-31,aiyappa   Ash That could work but I assume he wouldnt want to ask his mods to do more work then they already do though especially since I dont think he pays his mods and his own chat is already full on I do think discouraging that behaviour is the way to go tho its just figuring out how
2020-12-31,    SepticEye Ash  Husband Is it just me or does all strong teams in anime have orange haired people
2020-12-31,Ash Happy new year
2020-12-31,   Ash Maybe encourages isnt the right word thenPerhaps he should be going above and beyond to discourage his chat from doing this stuff  For example asking his mods to keep tabs on the chats of the other streamer in situations like this and ban the people creating the most ruckus
2020-12-31,Ash Happy New Years people in the future
2020-12-31,Ash Happy new year Ash widepeepoHappy
2020-12-31,aiyappa   Ash And is why I disagree with the argument that he encourages that kinda behaviour
2020-12-31,aiyappa   Ash I think majority of the time he just gets mad and lashes out a bit but later realises the mistakes which is why the BM then apology happens so often which obviously is not okay I agree but his apologies often try to discourage his audience from following his BM which is good
2020-12-31,Ash Happy New Year 
2020-12-31,11   SepticEye Ash  Husband I was looking at her old pfp which looked so much like orange hair  Ill fix it on my next draws
2020-12-31,Ash Happy new year Ash 
2020-12-31,Ash Happy new year Ash happy new year guys well still 2020 here Someone get me out of 2020 please
2020-12-31,   SepticEye Ash  Husband Also I need to see sykkuno smile
2020-12-31,   SepticEye Ash  Husband I love that so much its so good and also kinda cuteBUT ash has brown hair
2020-12-31,thank you for making my 2020 better lt3 happy new year   Husband  Ash    
2020-12-31,   Ash Youre just reinforcing the perception that you are a child considering that you somehow think that youre the authority on what kind of people deserve to live coupled with the fact that you cant see the blatant irony in your reply
2020-12-31,Ash Happy New year Ash and everyone
2020-12-31,Ash Happy New Year Ash I love you channel and your personality Your amazing
2020-12-31,   SepticEye Ash  Husband Id watch the shit out of this anime
2020-12-31,Ash hi ash if you take your time for a sec to read this i just wanted to let you know that we love you youve been such a great friend and teammate in the rust server
2020-12-31,Ash  me stuck in 2020 like 
2020-12-31, Ash Honestly lol
2020-12-31,Ash 
2020-12-31,Ash Happy new year Ash 
2020-12-31,Ash Happy New Year Ash Thank you for being awesome
2020-12-31,Ash Happy new year
2020-12-31,Ash Happy New Year Ash So proud to have found you 
2020-12-31,   SepticEye Ash  Husband Rust shouldnt be wholesome Is should be about murdering eachother
2020-12-31, SepticEye   Ash  Husband This artwork is gorgeous 
2020-12-31,Ash Happy new year Ash
2020-12-31, SepticEye   Ash  Husband This is so awesome I love it
2020-12-31,Ash Happy new year ash
2020-12-31,Ash happy new year ash
2020-12-31,Ash HAPPY new year ash
2020-12-31,Ash Happy new year ash
2020-12-31,Ash Happy new year
2020-12-31,Ash Happy new year Ash 
2020-12-31,   Ash Maybe he could stop bashing and BMing other streamers so much Sure other streamers do it and they know when to stop for the most part  But this guy steps over the line and over does it so many times and then apologizes for the toxicity later
2020-12-31,Ash Oof that gif Happy new year ashe 
2020-12-31,   SepticEye Ash  Husband Top
2020-12-31,Ash Happy New Year Ash
2020-12-31,Ash HAPPY NEW YEAR
2020-12-31,Ash Happy new year
2020-12-31,Ash happy new years ash
2020-12-31, Ash   English not your first language
2020-12-31,   SepticEye Ash  Husband ang galing naman wew
2020-12-31,Ash Hi Ash im obsessed w u after u stream RUST
