"date","ticker","open","close","high","low","vol","newssentiment","newsmentions","twtrmentions","twtrsentiment","wsbsentiment","wsbmentions","retailvol","instvol","retailperc","newssentimentlag1","newsmentionslag1","twtrmentionslag1","twtrsentimentlag1","wsbsentimentlag1","wsbmentionslag1","newssentimentlag2","newsmentionslag2","twtrmentionslag2","twtrsentimentlag2","wsbsentimentlag2","wsbmentionslag2","newssentimentlag4","newsmentionslag4","twtrmentionslag4","twtrsentimentlag4","wsbsentimentlag4","wsbmentionslag4","twtrmentions5MA","wsbmentions5MA","newsmentions5MA","twtrmentions10MA","wsbmentions10MA","newsmentions10MA","target"
2019-01-23,"FB",148.28,144.3,148.8,143.05499,20290491,69,1,554,0.124548736462094,-0.171366667,1,7344744,12753671,0.365438966207037,50,0,496,0.17741935483871,0.0542,1,50,1,613,0.176182707993475,0.216035,1,50,0,496,0.17741935483871,0.0542,1,578.8,1,1,700.6,1,4.3,8214303
2019-01-24,"FB",144.64,145.83,146.44,142.52,20952818,69,3,595,-0.0100840336134454,-0.030275,1,8214303,12741215,0.391987590094409,69,1,554,0.124548736462094,-0.171366667,1,69,0,496,0.17741935483871,0.0542,1,69,1,554,0.124548736462094,-0.171366667,1,573.6,1,1.2,859.1,1,7.3,8840110
2019-01-25,"FB",147.48,149.00999,149.83,146.53999,22248554,50,0,636,0.0613207547169811,0.0267,1,8840110,13410844,0.39729128018511,69,3,595,-0.0100840336134454,-0.030275,1,69,1,554,0.124548736462094,-0.171366667,1,69,3,595,-0.0100840336134454,-0.030275,1,586,1,1.8,891.6,1,7.6,5462183
2019-01-28,"FB",148.05,147.47,148.96001,146.21001,15505583,69,2,587,0.0681431005110733,0.142,1,5462183,10046300,0.352206144211526,50,0,636,0.0613207547169811,0.0267,1,50,3,595,-0.0100840336134454,-0.030275,1,50,0,636,0.0613207547169811,0.0267,1,880.8,1,8,893.1,1,7.5,7246232
2019-01-29,"FB",148.09,144.19,148.10001,143.42999,17623463,50,3,558,0.0806451612903226,-0.1115,1,7246232,10385721,0.410971603656158,69,2,587,0.0681431005110733,0.142,1,69,0,636,0.0613207547169811,0.0267,1,69,2,587,0.0681431005110733,0.142,1,1171.4,1,13.4,908,1,7.5,15424418
2019-01-30,"FB",146.22,150.42,150.95,145.6953,44839367,62.71875,32,2028,0.217948717948718,-0.002062667,1,15424418,29188822,0.345736332980972,50,3,558,0.0806451612903226,-0.1115,1,50,2,587,0.0681431005110733,0.142,1,50,3,558,0.0806451612903226,-0.1115,1,1204.4,1,14.2,904.6,1,7.6,32335527
2019-01-31,"FB",165.60001,166.69,171.67999,165,77224802,72.7333333333333,30,2048,0.2412109375,0.151004444,1,32335527,44898075,0.41867174601024,62.71875,32,2028,0.217948717948718,-0.002062667,1,62.71875,3,558,0.0806451612903226,-0.1115,1,62.71875,32,2028,0.217948717948718,-0.002062667,1,1212.6,1,13.8,898.2,1,7.4,13353331
2019-02-01,"FB",165.84,165.71001,169.10001,165.66,30787313,42.5,4,801,0.207240948813983,-0.009364286,1,13353331,17453182,0.433458048302968,72.7333333333333,30,2048,0.2412109375,0.151004444,1,72.7333333333333,32,2028,0.217948717948718,-0.002062667,1,72.7333333333333,30,2048,0.2412109375,0.151004444,1,1230,1,13.2,883.2,1,7.6,9261437
2019-02-04,"FB",165.7,169.25,169.3,163.62,20033070,50,0,628,0.213375796178344,0.142082143,1,9261437,10775033,0.462228975463243,42.5,4,801,0.207240948813983,-0.009364286,1,42.5,30,2048,0.2412109375,0.151004444,1,42.5,4,801,0.207240948813983,-0.009364286,1,928.4,1,7.2,868.1,1,7.4,10264416
2019-02-05,"FB",169.14999,171.16,171.98,168.69,22552317,50,0,645,0.184496124031008,0.042078947,1,10264416,12292569,0.455043792421727,50,0,628,0.213375796178344,0.142082143,1,50,4,801,0.207240948813983,-0.009364286,1,50,0,628,0.213375796178344,0.142082143,1,625,1,1.4,863.4,1,7.1,5828984
2019-02-06,"FB",171.2,170.49001,172.47,169.27,13276686,50,2,520,0.173076923076923,0.141663636,1,5828984,7452177,0.438891148145859,50,0,645,0.184496124031008,0.042078947,1,50,0,628,0.213375796178344,0.142082143,1,50,0,645,0.184496124031008,0.042078947,1,562,1,1,705.4,1,4,7737845
